community_id	genome_id	mean_log_abund	stdev_log_abund
ecoli_std_clonal	Escherichia_coli_K_12_MG1655	1	0
ecoli_std_conspecific	Escherichia_coli_K_12_MG1655	1	0
ecoli_std_conspecific	Escherichia_coli_IAI39	1	0
background_gut_1	Dehalococcoides_mccartyi_CG3	1	1
background_gut_1	Lactobacillus_plantarum_Zhang_LL	1	1
background_gut_1	Streptococcus_agalactiae_CU_GBS_98	1	1
background_gut_1	Listeria_monocytogenes_ATCC_51779	1	1
background_gut_1	Corynebacterium_glutamicum_HA	1	1
background_gut_1	Mycobacterium_avium_K_10	1	1
background_gut_1	Mycobacterium_tuberculosis_CCDC5079	1	1
background_gut_1	Carnobacterium_CP1_CP1	1	1
background_gut_1	Pasteurella_multocida_NCTC10382	1	1
background_gut_1	Lactobacillus_gasseri_DSM_14869	1	1
background_gut_1	Bacillus_subtilis_SRCM100757	1	1
background_gut_1	Cutibacterium_avidum_DPC_6544	1	1
background_gut_1	Sphingorhabdus_YGSMI21_YGSMI21	1	1
background_gut_1	Haemophilus_influenzae_M21460	1	1
background_gut_1	Streptococcus_dysgalactiae_AC_2713	1	1
background_gut_1	Neisseriaceae_bacterium_DSM_100970	1	1
background_gut_1	Dickeya_solani_D_s0432_1	1	1
background_gut_1	Erythrobacter_seohaensis_SW_135	1	1
background_gut_1	Pseudoalteromonas_atlantica_T6c	1	1
background_gut_1	Mannheimia_haemolytica_USDA_ARS_USMARC_184	1	1
background_gut_1	Staphylococcus_aureus_JKD6159	1	1
background_gut_1	Klebsiella_pneumoniae_F81	1	1
background_gut_1	Pediococcus_pentosaceus_wikim20	1	1
background_gut_1	Eggerthella_YY7918_YY7918	1	1
background_gut_1	Idiomarina_X4_X4	1	1
background_gut_1	Helicobacter_pylori_Hpbs1	1	1
background_gut_1	Rhizobium_leguminosarum_UPM791	1	1
background_gut_1	Acinetobacter_baumannii_KBN10P02143	1	1
background_gut_1	Salmonella_enterica_343076_294172	1	1
background_gut_1	Capnocytophaga_sputigena_KC1668	1	1
background_gut_1	Streptococcus_intermedius_NCTC11324	1	1
background_gut_1	Bacillus_safensis_BRM1	1	1
background_gut_1	Corynebacterium_ulcerans_FRC11	1	1
background_gut_1	Salmonella_enterica_D90	1	1
background_gut_1	Staphylococcus_aureus_JKD6008	1	1
background_gut_1	Serratia_marcescens_UMH6	1	1
background_gut_1	Campylobacter_coli_YH503	1	1
background_gut_1	Oligotropha_carboxidovorans_OM5	1	1
background_gut_1	Enterobacter_cloacae_CAV1669	1	1
background_gut_1	Haemophilus_ducreyi_35000HP	1	1
background_gut_1	Streptococcus_pyogenes_NCTC12048	1	1
background_gut_1	Staphylococcus_epidermidis_14_1_R1	1	1
background_gut_1	Sphingobium_TKS_TKS	1	1
background_gut_1	Sulfurimonas_autotrophica_DSM_16294	1	1
background_gut_1	Francisella_MA067296_MA067296	1	1
