community_id	genome_id	mean_log_abund	stdev_log_abund
gut1_ecoli_clonal	Escherichia_coli_K_12_MG1655	1	1
gut1_ecoli_clonal	Dehalococcoides_mccartyi_CG3	1	1
gut1_ecoli_clonal	Lactobacillus_plantarum_Zhang_LL	1	1
gut1_ecoli_clonal	Streptococcus_agalactiae_CU_GBS_98	1	1
gut1_ecoli_clonal	Listeria_monocytogenes_ATCC_51779	1	1
gut1_ecoli_clonal	Corynebacterium_glutamicum_HA	1	1
gut1_ecoli_clonal	Mycobacterium_avium_K_10	1	1
gut1_ecoli_clonal	Mycobacterium_tuberculosis_CCDC5079	1	1
gut1_ecoli_clonal	Carnobacterium_CP1_CP1	1	1
gut1_ecoli_clonal	Pasteurella_multocida_NCTC10382	1	1
gut1_ecoli_clonal	Lactobacillus_gasseri_DSM_14869	1	1
gut1_ecoli_clonal	Bacillus_subtilis_SRCM100757	1	1
gut1_ecoli_clonal	Cutibacterium_avidum_DPC_6544	1	1
gut1_ecoli_clonal	Sphingorhabdus_YGSMI21_YGSMI21	1	1
gut1_ecoli_clonal	Haemophilus_influenzae_M21460	1	1
gut1_ecoli_clonal	Streptococcus_dysgalactiae_AC_2713	1	1
gut1_ecoli_clonal	Neisseriaceae_bacterium_DSM_100970	1	1
gut1_ecoli_clonal	Dickeya_solani_D_s0432_1	1	1
gut1_ecoli_clonal	Erythrobacter_seohaensis_SW_135	1	1
gut1_ecoli_clonal	Pseudoalteromonas_atlantica_T6c	1	1
gut1_ecoli_clonal	Mannheimia_haemolytica_USDA_ARS_USMARC_184	1	1
gut1_ecoli_clonal	Staphylococcus_aureus_JKD6159	1	1
gut1_ecoli_clonal	Klebsiella_pneumoniae_F81	1	1
gut1_ecoli_clonal	Pediococcus_pentosaceus_wikim20	1	1
gut1_ecoli_clonal	Eggerthella_YY7918_YY7918	1	1
gut1_ecoli_clonal	Idiomarina_X4_X4	1	1
gut1_ecoli_clonal	Helicobacter_pylori_Hpbs1	1	1
gut1_ecoli_clonal	Rhizobium_leguminosarum_UPM791	1	1
gut1_ecoli_clonal	Acinetobacter_baumannii_KBN10P02143	1	1
gut1_ecoli_clonal	Salmonella_enterica_343076_294172	1	1
gut1_ecoli_clonal	Capnocytophaga_sputigena_KC1668	1	1
gut1_ecoli_clonal	Streptococcus_intermedius_NCTC11324	1	1
gut1_ecoli_clonal	Bacillus_safensis_BRM1	1	1
gut1_ecoli_clonal	Corynebacterium_ulcerans_FRC11	1	1
gut1_ecoli_clonal	Salmonella_enterica_D90	1	1
gut1_ecoli_clonal	Staphylococcus_aureus_JKD6008	1	1
gut1_ecoli_clonal	Serratia_marcescens_UMH6	1	1
gut1_ecoli_clonal	Campylobacter_coli_YH503	1	1
gut1_ecoli_clonal	Oligotropha_carboxidovorans_OM5	1	1
gut1_ecoli_clonal	Enterobacter_cloacae_CAV1669	1	1
gut1_ecoli_clonal	Haemophilus_ducreyi_35000HP	1	1
gut1_ecoli_clonal	Streptococcus_pyogenes_NCTC12048	1	1
gut1_ecoli_clonal	Staphylococcus_epidermidis_14_1_R1	1	1
gut1_ecoli_clonal	Sphingobium_TKS_TKS	1	1
gut1_ecoli_clonal	Sulfurimonas_autotrophica_DSM_16294	1	1
gut1_ecoli_clonal	Francisella_MA067296_MA067296	1	1
gut1_ecoli_clonal	Brucella_melitensis_M5_90	1	1
gut1_ecoli_clonal	Listeria_monocytogenes_WSLC1042	1	1
gut1_ecoli_clonal	Salmonella_enterica_343076_227128	1	1
gut1_ecoli_clonal	Chryseobacterium_arthrosphaerae_FDAARGOS_519	1	1
gut1_ecoli_clonal	Leptotrichia_oral_F0260	1	1
gut1_ecoli_clonal	Lactobacillus_rhamnosus_NCTC13764	1	1
gut1_ecoli_clonal	Enterococcus_faecalis_62	1	1
gut1_ecoli_clonal	Marinifilaceae_bacterium_SPP2	1	1
gut1_ecoli_clonal	Enterococcus_faecium_Efaecium_ER04120_3A	1	1
gut1_ecoli_clonal	Bacillus_subtilis_SRCM103697	1	1
gut1_ecoli_clonal	Rhodopseudomonas_palustris_BisA53	1	1
gut1_ecoli_clonal	Staphylococcus_aureus_191	1	1
gut1_ecoli_clonal	Acinetobacter_WCHAc010034_WCHAc010034	1	1
gut1_ecoli_clonal	Bacillus_amyloliquefaciens_B15	1	1
gut1_ecoli_clonal	Burkholderia_pseudomallei_MSHR668	1	1
gut1_ecoli_clonal	Mycobacterium_avium_MAPK_CN9_15	1	1
gut1_ecoli_clonal	Gallibacterium_anatis_UMN179	1	1
gut1_ecoli_clonal	Variovorax_paradoxus_B4	1	1
gut1_ecoli_clonal	Vibrio_parahaemolyticus_10329	1	1
gut1_ecoli_clonal	Chlamydia_pecorum_PV3056_3	1	1
