#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes,Host,Modify Date,RefSeq category,tRNA
"Chlamydia muridarum str. Nigg","Bacteria;PVC group;Chlamydiae","Nigg","SAMN02603994","PRJNA229","GCA_000006685.1","Complete",1.08045,40.2681,"chromosome:NC_002620.2/AE002160.2; plasmid pMoPn:NC_002182.1/AE002162.1",,2,908,"2000-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/685/GCA_000006685.1_ASM668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/685/GCF_000006685.1_ASM668v1",960,"human","2017-03-29T00:00:00Z","representative",37
"Vibrio cholerae O1 biovar El Tor str. N16961","Bacteria;Proteobacteria;Gammaproteobacteria","N16961","SAMN02603969","PRJNA36","GCA_000006745.1","Complete",4.03346,47.4873,"chromosome I:NC_002505.1/AE003852.1; chromosome II:NC_002506.1/AE003853.1",,2,3504,"2000-06-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1",3693,"human","2016-08-03T00:00:00Z","reference",98
"Pseudomonas aeruginosa PAO1","Bacteria;Proteobacteria;Gammaproteobacteria","PAO1","SAMN02603714","PRJNA331","GCA_000006765.1","Complete",6.2644,66.6,"chromosome:NC_002516.2/AE004091.2",,1,5572,"2000-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1",5697,"human","2019-01-24T00:00:00Z","reference",63
"Neisseria gonorrhoeae FA 1090","Bacteria;Proteobacteria;Betaproteobacteria","FA 1090","SAMN02604088","PRJNA23","GCA_000006845.1","Complete",2.15392,52.7,"chromosome:NC_002946.2/AE004969.1",,1,1886,"2000-09-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/845/GCA_000006845.1_ASM684v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1",1989,"human","2016-04-20T00:00:00Z","reference",55
"Rickettsia conorii str. Malish 7","Bacteria;Proteobacteria;Alphaproteobacteria","Malish 7","SAMN02603141","PRJNA42","GCA_000007025.1","Complete",1.26876,32.4,"chromosome:NC_003103.1/AE006914.1",,1,1289,"2001-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/025/GCA_000007025.1_ASM702v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1",1539,"human","2017-04-06T00:00:00Z","representative",33
"Streptococcus pneumoniae R6","Bacteria;Terrabacteria group;Firmicutes","R6","SAMN02603218","PRJNA278","GCA_000007045.1","Complete",2.03862,39.7,"chromosome:NC_003098.1/AE007317.1",,1,1814,"2001-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/045/GCA_000007045.1_ASM704v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/045/GCF_000007045.1_ASM704v1",1967,"human","2017-01-11T00:00:00Z","reference",58
"Brucella melitensis bv. 1 str. 16M","Bacteria;Proteobacteria;Alphaproteobacteria","16M","SAMN02603416","PRJNA180","GCA_000007125.1","Complete",3.29493,57.2357,"chromosome I:NC_003317.1/AE008917.1; chromosome II:NC_003318.1/AE008918.1",,2,3099,"2001-11-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/125/GCA_000007125.1_ASM712v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1",3369,"human","2017-03-29T00:00:00Z","representative",54
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","Bacteria;Fusobacteria;Fusobacteriia","ATCC 25586","SAMN02603417","PRJNA295","GCA_000007325.1","Complete",2.1745,27.2,"chromosome:NC_003454.1/AE009951.2",,1,1983,"2002-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/325/GCF_000007325.1_ASM732v1",2062,"human","2016-08-03T00:00:00Z","reference",47
"Streptococcus agalactiae 2603V/R","Bacteria;Terrabacteria group;Firmicutes","2603V/R","SAMN02604013","PRJNA330","GCA_000007265.1","Complete",2.16027,35.6,"chromosome:NC_004116.1/AE009948.1",,1,2127,"2002-08-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1",2279,"human","2016-08-03T00:00:00Z","reference",80
"Tropheryma whipplei str. Twist","Bacteria;Terrabacteria group;Actinobacteria","Twist","SAMN02603248","PRJNA95","GCA_000007485.1","Complete",0.927303,46.3,"chromosome:NC_004572.3/AE014184.1",,1,852,"2003-02-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/485/GCF_000007485.1_ASM748v1",912,"human","2017-03-29T00:00:00Z","representative",50
"Chlamydia caviae GPIC","Bacteria;PVC group;Chlamydiae","GPIC","SAMN02603993","PRJNA228","GCA_000007605.1","Complete",1.18136,39.1629,"chromosome:NC_003361.3/AE015925.1; plasmid pCpGP1:NC_004720.1/AE015926.1",,2,976,"2002-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/605/GCA_000007605.1_ASM760v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/605/GCF_000007605.1_ASM760v1",1039,"human","2017-04-17T00:00:00Z","representative",38
"Clostridium tetani E88","Bacteria;Terrabacteria group;Firmicutes","Massachusetts substr. E88","SAMN02603289","PRJNA81","GCA_000007625.1","Complete",2.87333,28.5917,"chromosome:NC_004557.1/AE015927.1; plasmid pE88:NC_004565.1/AF528097.1",,2,2699,"2003-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/625/GCA_000007625.1_ASM762v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/625/GCF_000007625.1_ASM762v1",2826,"human","2017-03-29T00:00:00Z","representative",54
"Staphylococcus epidermidis ATCC 12228","Bacteria;Terrabacteria group;Firmicutes","ATCC 12228","SAMN02603126","PRJNA279","GCA_000007645.1","Complete",2.56461,32.0512,"chromosome:NC_004461.1/AE015929.1; plasmid pSE-12228-01:NC_005008.1/AE015930.1; plasmid pSE-12228-02:NC_005007.1/AE015931.1; plasmid pSE-12228-03:NC_005006.1/AE015932.1; plasmid pSE-12228-04:NC_005005.1/AE015933.1; plasmid pSE-12228-05:NC_005004.1/AE015934.1; plasmid pSE-12228-06:NC_005003.1/AE015935.1",,7,2482,"2002-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/645/GCA_000007645.1_ASM764v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1",2558,"human","2016-08-03T00:00:00Z","reference",60
"Chromobacterium violaceum ATCC 12472","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 12472","SAMN02603528","PRJNA444","GCA_000007705.1","Complete",4.75108,64.8,"chromosome:NC_005085.1/AE016825.1",,1,4245,"2003-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/705/GCA_000007705.1_ASM770v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/705/GCF_000007705.1_ASM770v1",4438,"human","2017-05-18T00:00:00Z","representative",98
"Enterococcus faecalis V583","Bacteria;Terrabacteria group;Firmicutes","V583","SAMN02603978","PRJNA70","GCA_000007785.1","Complete",3.35997,37.3546,"chromosome:NC_004668.1/AE016830.1; plasmid pTEF1:NC_004669.1/AE016833.1; plasmid pTEF2:NC_004671.1/AE016831.1; plasmid pTEF3:NC_004670.1/AE016832.1",,4,3264,"2003-03-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/785/GCA_000007785.1_ASM778v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/785/GCF_000007785.1_ASM778v1",3412,"human","2018-08-14T00:00:00Z","reference",68
